,Question,Q_id,Company,Model,Answer,Rank,Score,Doc_index,Context_Answer
49,Does the company monitor performance indicators to assess its progress with regard to energy consumption  per tons produced?,10,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"Currently, more than 150 measures are being pursued to reduce energy consumption and increase competitive ability.",5,0.0021,1173,"All energy efficiency measures are recorded and analyzed in a global database and made available to BASF sites as best practices. Currently, more than 150 measures are being pursued to reduce energy consumption and increase competitive ability. These include the Verbund site in Geismar, Louisiana, as well as another 19 sites in Brazil, India, Malaysia, Thailand, France and the Netherlands, among other countries."
50,Does the company monitor performance indicators to assess its progress with regard to greenhouse gas emissions?,11,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"The Greenhouse Gas Protocol, used by many companies in different sectors as well as nongovernmental organizations and governments, is a globally recognized standard to quantify and manage greenhouse gas emissions.",1,0.0416,3042,"It was established in 1997 with the aim of developing a guideline for companies’ and organizations’ voluntary reporting on their economic, environmental and social activities. The Greenhouse Gas Protocol, used by many companies in different sectors as well as nongovernmental organizations and governments, is a globally recognized standard to quantify and manage greenhouse gas emissions. The reporting standards and recommendations for implementing projects to reduce emissions are jointly developed by companies, nongovernmental organizations and governments under the guidance of the World Resources Institute and the World Business Council for Sustainable Development."
51,Does the company monitor performance indicators to assess its progress with regard to greenhouse gas emissions?,11,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,We report on greenhouse gas emissions in accordance with the Greenhouse Gas Protocol Standard as well as the sector-specific standard for the chemical industry.,2,0.0326,1157,"Around half2 of our total annual research and development spending goes toward developing these products and optimizing our processes. We report on greenhouse gas emissions in accordance with the Greenhouse Gas Protocol Standard as well as the sector-specific standard for the chemical industry. Since 2004, we have participated in the international non-profit organi zation CDP’s program for reporting on data relevant to climate protection."
52,Does the company monitor performance indicators to assess its progress with regard to greenhouse gas emissions?,11,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,We will maintain greenhouse gas emissions per metric ton of sales product as an additional reporting indicator.,3,0.029,1162,"In 2018, we started comparing our annual reporting with the TCFD’s recommendations and identifying potential action areas. We will maintain greenhouse gas emissions per metric ton of sales product as an additional reporting indicator. This is one of the ways in which we intend to identify and carry out improvements in energy efficiency, reducing not only greenhouse gas emissions and saving valuable energy resources, but also increasing the BASF Group’s competitive ability."
53,Does the company monitor performance indicators to assess its progress with regard to greenhouse gas emissions?,11,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"When deciding on investments and acquisitions, we systematically consider the effects on greenhouse gas emissions.",4,0.0159,1142,"We will compensate for additional emissions with optimization measures at existing plants and a focus on purchasing low carbon energy. When deciding on investments and acquisitions, we systematically consider the effects on greenhouse gas emissions. At sites that produce their own energy, we primarily rely on highly efficient combined heat and power plants targets of the Paris climate accord."
54,Does the company monitor performance indicators to assess its progress with regard to greenhouse gas emissions?,11,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,The calculation of avoided greenhouse gas emissions took into account the chemical industry standards of the International Council of Chemical Associations (ICCA) and the World Business Council for Sustainable Development (WBCSD).,5,0.0044,1183,"Analysis shows that in addition to ecological and economic advantages, these can reduce greenhouse gas emissions by an average of 85% per metric ton of feed. The calculation of avoided greenhouse gas emissions took into account the chemical industry standards of the International Council of Chemical Associations (ICCA) and the World Business Council for Sustainable Development (WBCSD). Prevention of greenhouse gas emissions through the use of BASF products Million metric tons of CO2 equivalents."
55,"Does the company have a formalized commitment policy (policy or program) that addresses the safety of its plants or facilities (implementation of safety procedures and standards, installation of secondary containment, maintenance etc..)",12,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,You may acknowledge the principles stated above or demonstrate your commitment via compliance with your own code of conduct or company policies that embrace these standards.,1,0.866,17,"• You implement an appropriate Compliance Management System, which facilitates compliance with applicable laws, regulations, and standards. You may acknowledge the principles stated above or demonstrate your commitment via compliance with your own code of conduct or company policies that embrace these standards. BASF reserves the right to conduct audits or assessments to ensure your compliance and will take appropriate steps regarding our relationship with you if there is a reason for concern."
56,"Does the company have a formalized commitment policy (policy or program) that addresses the safety of its plants or facilities (implementation of safety procedures and standards, installation of secondary containment, maintenance etc..)",12,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"We already use internal control processes such as Responsible Care audits to review the degree of adherence with the individual elements of the guideline in BASF Group companies.1 Beyond this, we started to integrate our voluntary commitment into the existing corporate audit process in 2018.",2,0.0194,1337,"Based on our guideline, our management process has been able to improve maternity leave at BASF companies with no statutory require ments or lower requirements than in the BASF guideline, for example. We already use internal control processes such as Responsible Care audits to review the degree of adherence with the individual elements of the guideline in BASF Group companies.1 Beyond this, we started to integrate our voluntary commitment into the existing corporate audit process in 2018. For more information on compliance, see page 140 onward 1 Excluding employees of the businesses acquired from Bayer."
57,"Does the company have a formalized commitment policy (policy or program) that addresses the safety of its plants or facilities (implementation of safety procedures and standards, installation of secondary containment, maintenance etc..)",12,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"Based on international standards, BASF’s Compliance Program combines important laws and company-internal policies – often exceed ing legal requirements – with external voluntary commitments to create a framework that regulates how all BASF employees interact with business partners, officials, colleagues and society.",3,0.0106,1753,"Compliance Program and Code of Conduct ▪ Integrated into corporate values ▪ Regular compliance training for employees. Based on international standards, BASF’s Compliance Program combines important laws and company-internal policies – often exceed ing legal requirements – with external voluntary commitments to create a framework that regulates how all BASF employees interact with business partners, officials, colleagues and society. At the core of our Compliance Program is the global, standardized Code of Conduct received by every employee."
58,"Does the company have a formalized commitment policy (policy or program) that addresses the safety of its plants or facilities (implementation of safety procedures and standards, installation of secondary containment, maintenance etc..)",12,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,We try to prevent unscheduled plant shutdowns by adhering to high technical standards and by continuously improving our plants.,4,0.0043,1521,"We address the risk of supply interruptions on the procurement and sales side as a result of extreme weather conditions (such as high/low water levels on rivers, hurricanes) by switching to unaffected logistics carriers and the possibility of falling back on unaffected sites within our global Verbund. We try to prevent unscheduled plant shutdowns by adhering to high technical standards and by continuously improving our plants. We reduce the effects of unscheduled shutdowns on the supply of intermediate and end products through diversification within our global production Verbund."
59,"Does the company have a formalized commitment policy (policy or program) that addresses the safety of its plants or facilities (implementation of safety procedures and standards, installation of secondary containment, maintenance etc..)",12,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"This includes: • close dialogue with employee representatives and international organizations • a compliance hotline that all employees can use anonymously and confidentially to obtain information about valid labor and social standards or to report grievances, and • an annual survey in our Group companies to ensure adherence to voluntary commitments in day-to-day business.",5,0.0041,3124,"We operate a three-part monitoring system to evaluate whether we adhere to internationally recognized labor and social standards within the BASF Group. This includes: • close dialogue with employee representatives and international organizations • a compliance hotline that all employees can use anonymously and confidentially to obtain information about valid labor and social standards or to report grievances, and • an annual survey in our Group companies to ensure adherence to voluntary commitments in day-to-day business. Regular audits ensure consistently high standards within the BASF Group in all areas of environmental protection, safety and health protection."
60,Does the company monitor performance indicators with regard to health safety for aspects for workers relying on frequency or severity rates?,13,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"Responsible Care Management System ▪ Global directives and standards for safety, security, health and environmental protection ▪ Regular audits to monitor performance and progress BASF’s Responsible Care Management System comprises the global directives, standards and procedures for safety, security, health and environmental protection for the various stations along our value chain.",1,0.0011,997,"We expect our employees and contractors to know the risks of working with our products, substances and plants and handle these respon sibly. Responsible Care Management System ▪ Global directives and standards for safety, security, health and environmental protection ▪ Regular audits to monitor performance and progress BASF’s Responsible Care Management System comprises the global directives, standards and procedures for safety, security, health and environmental protection for the various stations along our value chain. Our regulations cover the transportation of raw materials, activities at our sites and warehouses, and distribution of our products as well as our customers’ application of the products."
61,Does the company monitor performance indicators with regard to health safety for aspects for workers relying on frequency or severity rates?,13,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"We set ourselves ambitious goals with vol untary commitments and monitor our performance in terms of environmental protection, health and safety using our Responsible Care Management System.",2,0.0011,242,"Our standards fulfill or exceed existing laws and regulations and take internationally recognized principles into account. We set ourselves ambitious goals with vol untary commitments and monitor our performance in terms of environmental protection, health and safety using our Responsible Care Management System. In terms of labor and social standards, this takes place using three elements: the Compliance Program (including the compli ance hotlines, which can be used for internal and external questions or complaints), close dialog with our stakeholders (such as with employee representatives or international organizations), and the global management process to respect international labor norms."
62,Does the company monitor performance indicators with regard to health safety for aspects for workers relying on frequency or severity rates?,13,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,Our global corporate health management serves to promote and maintain the health and productivity of our employees.,3,0.0008,1057,"For more information on process safety, see basf.com/process_safety Health protection ▪ Global standards for corporate health management ▪ 2018 Global Health Campaign “Life. Our global corporate health management serves to promote and maintain the health and productivity of our employees. Our worldwide standards for occupational health are specified in a directive that is implemented by a global network of experts."
63,Does the company monitor performance indicators with regard to health safety for aspects for workers relying on frequency or severity rates?,13,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"For more information on process safety, see basf.com/process_safety Health protection ▪ Global standards for corporate health management ▪ 2018 Global Health Campaign “Life.",4,0.0008,1056,"We play an active role in improving process safety around the world in a global network of experts, through our involvement in organizations such as the International Council of Chemical Associations (ICCA), and by fostering dialog with government institutions. For more information on process safety, see basf.com/process_safety Health protection ▪ Global standards for corporate health management ▪ 2018 Global Health Campaign “Life. Our global corporate health management serves to promote and maintain the health and productivity of our employees."
64,Does the company monitor performance indicators with regard to health safety for aspects for workers relying on frequency or severity rates?,13,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,Only after material control weaknesses have been resolved does the company’s managing director confirm the effectiveness of the internal control system.,5,0.0008,1493,"The Board of Executive Directors and the Audit Committee are informed once control weaknesses have been identified that have a considerable impact on financial reporting. Only after material control weaknesses have been resolved does the company’s managing director confirm the effectiveness of the internal control system. – Internal confirmation of the internal control system All managing directors and chief financial officers of each consolidated Group company must confirm to the Board of Executive Directors of BASF SE every half-year and at the end of the annual cycle, in writing, that the internal control system is effective with regard to accounting and reporting."
65,Is there a crisis management scheme to cope with an identified issue on product safety?,14,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"Around the world, we promote initiatives to discuss incidents and their causes, as well as to sensitize others to potential safety risks.",1,0.0035,1048,"We pursue continu al improvement by investigating every incident in detail, analyzing root causes and using the findings to derive suitable measures. Around the world, we promote initiatives to discuss incidents and their causes, as well as to sensitize others to potential safety risks. At the Ludwigshafen site in Germany and at other European sites, the focus was on sharing measures to improve 1 Hours worked by BASF employees, temporary employees and contractors."
66,Is there a crisis management scheme to cope with an identified issue on product safety?,14,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"The aim was to increase risk awareness to identify and eliminate threats before they become a danger – whether at work, on the road or at home.",2,0.002,1024,"With over 800 activities at 325 sites, the focus of our Global Safety Days was “Understand risk, take action!” in 2018. The aim was to increase risk awareness to identify and eliminate threats before they become a danger – whether at work, on the road or at home. For more information on the global safety initiative, see basf.com/global-safety-initiative Occupational safety ▪ New tools and global dialog to prevent work-related accidents ▪ Employees and contractors worldwide instructed on safe behavior."
67,Is there a crisis management scheme to cope with an identified issue on product safety?,14,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"This is achieved with the help of a global data base in which we maintain and evaluate continuously updated environmental, health and safety data for our substances and products.",3,0.0017,1088,"We provide extensive information on all our chemical sales products to our customers with safety data sheets in around 40 languages. This is achieved with the help of a global data base in which we maintain and evaluate continuously updated environmental, health and safety data for our substances and products. We train and support our customers in fulfilling their industry or application-specific product requirements."
68,Is there a crisis management scheme to cope with an identified issue on product safety?,14,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"Our new, global requirement on key safety-related workflows emphasizes risk- conscious, safe working practices.",4,0.0012,1028,"A new global tool was launched in mid-2018 to help employees detect threats faster and better assess the risks involved. Our new, global requirement on key safety-related workflows emphasizes risk- conscious, safe working practices. A standardized risk matrix was adopted in 2018 to be able to determine and assess the hazard potential of incidents consistently across the company."
69,Is there a crisis management scheme to cope with an identified issue on product safety?,14,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"We reduce potential risks in the areas of environmental protection, safety and security, health protection, product stewardship, compliance, and labor and social standards by setting ourselves globally uniform requirements.",5,0.0012,417,"Our sustainability management helps to minimize risks and opens up new opportunities to market more sustainable products. We reduce potential risks in the areas of environmental protection, safety and security, health protection, product stewardship, compliance, and labor and social standards by setting ourselves globally uniform requirements. Internal monitoring systems and grievance mechanisms enable us to check compliance with these standards: they include, for example, global surveys, audits and compliance hotlines."
